episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-19.515167,85,2.3,2026-09-20 23:34:39
2,1000,-12.968558,85,3.3,2026-09-20 23:34:40
3,1000,-16.421673,85,4.3,2026-09-20 23:34:41
4,1000,-19.289426,85,5.3,2026-09-20 23:34:42
5,1000,-12.009362,85,6.3,2026-09-20 23:34:43
6,1000,-7.663451,85,7.2,2026-09-20 23:34:44
7,1000,-16.301793,85,8.2,2026-09-20 23:34:45
8,1000,-8.656199,85,9.1,2026-09-20 23:34:46
9,1000,-12.201362,85,10.1,2026-09-20 23:34:47
10,1000,-14.153032,85,11.1,2026-09-20 23:34:48
11,1000,-10.485658,85,12.1,2026-09-20 23:34:49
12,1000,-11.322048,85,13.1,2026-09-20 23:34:50
13,1000,-4.757502,85,14.1,2026-09-20 23:34:51
14,1000,-15.456571,85,15.1,2026-09-20 23:34:52
15,1000,-10.167083,85,16.0,2026-09-20 23:34:53
16,1000,-12.657770,85,17.0,2026-09-20 23:34:54
17,1000,-104.977794,49,18.3,2026-09-20 23:34:55
18,1000,-108.813032,51,19.2,2026-09-20 23:34:56
19,1000,-103.105325,49,20.2,2026-09-20 23:34:57
20,1000,-79.465047,35,21.1,2026-09-20 23:34:58
21,1000,-98.155491,48,22.1,2026-09-20 23:34:59
22,1000,-102.820602,49,23.1,2026-09-20 23:35:00
23,1000,-78.317674,36,24.0,2026-09-20 23:35:01
24,1000,-76.202948,36,25.0,2026-09-20 23:35:02
25,1000,-85.896125,41,25.9,2026-09-20 23:35:03
26,1000,-95.033745,49,26.9,2026-09-20 23:35:04
27,1000,-80.869534,43,27.9,2026-09-20 23:35:05
28,1000,-112.904530,50,28.9,2026-09-20 23:35:06
29,1000,-84.101942,43,29.9,2026-09-20 23:35:07
30,1000,-95.985933,47,30.8,2026-09-20 23:35:08
31,1000,-76.942819,40,31.8,2026-09-20 23:35:09
32,1000,-91.777208,43,32.8,2026-09-20 23:35:10
33,1000,-105.933543,53,33.8,2026-09-20 23:35:11
34,1000,-116.498890,52,34.7,2026-09-20 23:35:12
35,1000,-77.589369,36,35.7,2026-09-20 23:35:13
36,1000,-83.565693,39,36.6,2026-09-20 23:35:13
37,1000,-108.287523,51,37.6,2026-09-20 23:35:14
38,1000,-80.265054,37,38.5,2026-09-20 23:35:15
39,1000,-103.632552,49,39.5,2026-09-20 23:35:16
40,1000,-90.816968,45,40.5,2026-09-20 23:35:17
41,1000,-74.220576,35,41.4,2026-09-20 23:35:18
42,1000,-99.876200,50,42.4,2026-09-20 23:35:19
43,1000,-83.879584,44,43.4,2026-09-20 23:35:20
44,1000,-77.063807,39,44.3,2026-09-20 23:35:21
45,1000,-100.304393,49,45.3,2026-09-20 23:35:22
46,1000,-47.627542,85,46.6,2026-09-20 23:35:23
47,1000,-47.206352,74,47.6,2026-09-20 23:35:24
48,1000,-27.608933,85,48.5,2026-09-20 23:35:25
49,1000,-51.928227,51,49.5,2026-09-20 23:35:26
50,1000,-22.922054,85,50.5,2026-09-20 23:35:27
51,1000,-45.761478,85,51.5,2026-09-20 23:35:28
52,1000,-50.915155,74,52.4,2026-09-20 23:35:29
53,1000,-22.291244,85,53.4,2026-09-20 23:35:30
54,1000,-14.786828,85,54.4,2026-09-20 23:35:31
55,1000,-17.213382,85,55.3,2026-09-20 23:35:32
56,1000,-38.504446,65,56.3,2026-09-20 23:35:33
57,1000,-46.117971,85,57.3,2026-09-20 23:35:34
58,1000,-6.509807,85,58.3,2026-09-20 23:35:35
59,1000,-16.853166,85,59.3,2026-09-20 23:35:36
60,1000,-53.194000,85,60.3,2026-09-20 23:35:37
61,1000,-46.711130,78,61.2,2026-09-20 23:35:38
62,1000,-34.781084,66,62.2,2026-09-20 23:35:39
63,1000,-30.495894,62,63.5,2026-09-20 23:35:40
64,1000,-32.308975,85,64.5,2026-09-20 23:35:41
65,1000,-49.188717,74,65.5,2026-09-20 23:35:42
66,1000,-38.182234,85,66.5,2026-09-20 23:35:43
67,1000,-4.578376,85,67.4,2026-09-20 23:35:44
68,1000,-23.056258,85,68.4,2026-09-20 23:35:45
69,1000,-39.018318,85,69.4,2026-09-20 23:35:46
70,1000,-12.549797,85,70.4,2026-09-20 23:35:47
71,1000,-12.391689,85,71.4,2026-09-20 23:35:48
72,1000,-11.618647,85,72.4,2026-09-20 23:35:49
73,1000,-8.465728,85,73.3,2026-09-20 23:35:50
74,1000,-17.085277,85,74.3,2026-09-20 23:35:51
75,1000,-26.657328,66,75.3,2026-09-20 23:35:52
76,1000,-11.900189,85,76.2,2026-09-20 23:35:53
77,1000,-29.474399,85,77.2,2026-09-20 23:35:54
78,1000,-78.084289,85,78.2,2026-09-20 23:35:55
79,1000,-51.790757,85,79.5,2026-09-20 23:35:56
80,1000,-8.390432,85,80.5,2026-09-20 23:35:57
81,1000,-14.265938,85,81.4,2026-09-20 23:35:58
82,1000,-6.516369,85,82.4,2026-09-20 23:35:59
83,1000,-63.906145,66,83.4,2026-09-20 23:36:00
84,1000,-56.120081,44,84.4,2026-09-20 23:36:01
85,1000,-40.228475,83,85.3,2026-09-20 23:36:02
86,1000,-16.047923,85,86.3,2026-09-20 23:36:03
87,1000,-44.540849,85,87.3,2026-09-20 23:36:04
88,1000,-27.691457,85,88.3,2026-09-20 23:36:05
89,1000,-23.903137,85,89.3,2026-09-20 23:36:06
90,1000,-4.631344,85,90.3,2026-09-20 23:36:07
91,1000,-15.000140,85,91.2,2026-09-20 23:36:08
92,1000,-7.545176,85,92.2,2026-09-20 23:36:09
93,1000,-48.024930,85,93.2,2026-09-20 23:36:10
94,1000,-77.760938,85,94.2,2026-09-20 23:36:11
95,1000,-10.231287,85,95.5,2026-09-20 23:36:12
96,1000,-8.543690,85,96.5,2026-09-20 23:36:13
97,1000,-19.717720,85,97.5,2026-09-20 23:36:14
98,1000,-47.830358,85,98.4,2026-09-20 23:36:15
99,1000,-22.023795,85,99.4,2026-09-20 23:36:16
100,1000,-32.312322,80,100.4,2026-09-20 23:36:17
101,1000,-27.338280,85,101.4,2026-09-20 23:36:18
102,1000,-29.739582,85,102.3,2026-09-20 23:36:19
103,1000,-63.192808,85,103.3,2026-09-20 23:36:20
104,1000,-50.150735,85,104.3,2026-09-20 23:36:21
105,1000,-13.269651,85,105.2,2026-09-20 23:36:22
106,1000,-6.583402,85,106.2,2026-09-20 23:36:23
107,1000,-66.617272,57,107.2,2026-09-20 23:36:24
108,1000,-16.277261,85,108.2,2026-09-20 23:36:25
109,1000,-11.236515,85,109.1,2026-09-20 23:36:26
110,1000,-84.989170,85,110.1,2026-09-20 23:36:27
111,1000,-18.671717,85,111.4,2026-09-20 23:36:28
112,1000,-27.384500,85,112.4,2026-09-20 23:36:29
113,1000,-42.399306,85,113.4,2026-09-20 23:36:30
114,1000,-45.524277,85,114.4,2026-09-20 23:36:31
115,1000,-47.197003,46,115.3,2026-09-20 23:36:32
116,1000,-73.649191,67,116.3,2026-09-20 23:36:33
117,1000,-11.649340,85,117.3,2026-09-20 23:36:34
118,1000,-22.790055,80,118.3,2026-09-20 23:36:35
119,1000,-18.073383,85,119.3,2026-09-20 23:36:36
120,1000,-27.847303,80,120.2,2026-09-20 23:36:37
121,1000,-36.109352,58,121.2,2026-09-20 23:36:38
122,1000,-73.535648,85,122.2,2026-09-20 23:36:39
123,1000,-35.236206,85,123.1,2026-09-20 23:36:40
124,1000,-44.180833,82,124.1,2026-09-20 23:36:41
125,1000,-13.677485,85,125.1,2026-09-20 23:36:42
126,1000,-19.388201,85,126.1,2026-09-20 23:36:43
127,1000,-29.787091,75,127.0,2026-09-20 23:36:44
128,1000,-6.310886,85,128.3,2026-09-20 23:36:45
129,1000,-48.437131,45,129.3,2026-09-20 23:36:46
130,1000,-17.387213,85,130.3,2026-09-20 23:36:47
131,1000,-24.748929,85,131.2,2026-09-20 23:36:48
132,1000,-28.849845,67,132.2,2026-09-20 23:36:49
133,1000,-13.986305,85,133.2,2026-09-20 23:36:50
134,1000,-22.644760,69,134.2,2026-09-20 23:36:51
135,1000,-33.158263,85,135.2,2026-09-20 23:36:52
136,1000,-32.992666,85,136.2,2026-09-20 23:36:53
137,1000,-32.051153,78,137.1,2026-09-20 23:36:54
138,1000,-23.691536,85,138.1,2026-09-20 23:36:55
139,1000,-32.355852,81,139.1,2026-09-20 23:36:56
140,1000,-11.067653,85,140.1,2026-09-20 23:36:57
141,1000,-33.264925,60,141.0,2026-09-20 23:36:58
142,1000,-47.911718,50,142.0,2026-09-20 23:36:59
143,1000,-24.139527,85,143.0,2026-09-20 23:37:00
144,1000,-31.314495,72,144.0,2026-09-20 23:37:01
145,1000,-44.457172,85,145.3,2026-09-20 23:37:02
146,1000,-25.689654,85,146.2,2026-09-20 23:37:03
147,1000,-37.179580,85,147.2,2026-09-20 23:37:04
148,1000,-23.250695,85,148.2,2026-09-20 23:37:05
149,1000,-3.411087,85,149.2,2026-09-20 23:37:06
150,1000,-55.960156,55,150.1,2026-09-20 23:37:07
151,1000,-49.080114,85,151.1,2026-09-20 23:37:08
152,1000,-30.630843,61,152.1,2026-09-20 23:37:09
153,1000,-47.632718,81,153.1,2026-09-20 23:37:10
154,1000,-32.380953,85,154.1,2026-09-20 23:37:11
155,1000,-24.337639,85,155.0,2026-09-20 23:37:12
156,1000,-13.305607,85,156.0,2026-09-20 23:37:13
157,1000,-14.736366,85,157.0,2026-09-20 23:37:14
158,1000,-19.569511,85,158.0,2026-09-20 23:37:15
159,1000,-56.430387,85,158.9,2026-09-20 23:37:16
160,1000,-30.276369,85,159.9,2026-09-20 23:37:17
161,1000,-52.241739,85,161.2,2026-09-20 23:37:18
162,1000,-7.529988,85,162.2,2026-09-20 23:37:19
163,1000,-12.910781,85,163.1,2026-09-20 23:37:20
164,1000,-8.915643,85,164.1,2026-09-20 23:37:21
165,1000,-12.094321,85,165.1,2026-09-20 23:37:22
166,1000,-7.948416,85,166.1,2026-09-20 23:37:23
167,1000,-41.846129,85,167.1,2026-09-20 23:37:24
168,1000,-56.178582,71,168.1,2026-09-20 23:37:25
169,1000,-18.188580,85,169.0,2026-09-20 23:37:26
170,1000,-17.172771,85,170.0,2026-09-20 23:37:27
171,1000,-28.559504,64,171.0,2026-09-20 23:37:28
172,1000,-34.699522,58,172.0,2026-09-20 23:37:29
173,1000,-26.978828,73,173.0,2026-09-20 23:37:30
174,1000,-28.461865,85,173.9,2026-09-20 23:37:31
175,1000,-10.276075,85,174.9,2026-09-20 23:37:32
176,1000,-24.484765,79,175.9,2026-09-20 23:37:33
177,1000,-5.170359,85,177.2,2026-09-20 23:37:34
178,1000,-17.458546,85,178.1,2026-09-20 23:37:35
179,1000,-49.859078,40,179.1,2026-09-20 23:37:36
180,1000,-40.121000,55,180.1,2026-09-20 23:37:37
181,1000,-23.060692,85,181.1,2026-09-20 23:37:38
182,1000,-10.040807,85,182.0,2026-09-20 23:37:39
183,1000,-14.485578,85,183.0,2026-09-20 23:37:40
184,1000,-42.925804,85,184.0,2026-09-20 23:37:41
185,1000,-12.293072,85,185.0,2026-09-20 23:37:42
186,1000,-47.291077,55,186.0,2026-09-20 23:37:43
187,1000,-117.001949,85,187.0,2026-09-20 23:37:44
188,1000,-21.591112,85,188.0,2026-09-20 23:37:45
189,1000,-43.376656,65,188.9,2026-09-20 23:37:46
190,1000,-51.784012,85,189.9,2026-09-20 23:37:47
191,1000,-37.049477,62,190.9,2026-09-20 23:37:48
192,1000,-36.101245,64,191.9,2026-09-20 23:37:49
193,1000,-7.517129,85,192.9,2026-09-20 23:37:50
194,1000,-41.547484,85,193.9,2026-09-20 23:37:51
195,1000,-16.008608,85,195.2,2026-09-20 23:37:52
196,1000,-18.874452,85,196.2,2026-09-20 23:37:53
197,1000,-18.763370,85,197.1,2026-09-20 23:37:54
198,1000,-5.035206,85,198.1,2026-09-20 23:37:55
199,1000,-29.664134,72,199.1,2026-09-20 23:37:56
200,1000,-38.771400,85,200.1,2026-09-20 23:37:57
201,1000,-34.836601,85,201.1,2026-09-20 23:37:58
202,1000,-8.470550,85,202.1,2026-09-20 23:37:59
203,1000,-10.068842,85,203.0,2026-09-20 23:38:00
204,1000,-62.408595,63,204.0,2026-09-20 23:38:01
205,1000,-14.227285,85,205.0,2026-09-20 23:38:02
206,1000,-19.072639,85,206.0,2026-09-20 23:38:03
207,1000,-49.189594,42,206.9,2026-09-20 23:38:04
208,1000,-17.865234,85,207.9,2026-09-20 23:38:05
209,1000,-22.088978,85,208.9,2026-09-20 23:38:06
210,1000,-16.151283,85,209.9,2026-09-20 23:38:07
211,1000,-26.952695,85,211.2,2026-09-20 23:38:08
212,1000,-29.928702,85,212.1,2026-09-20 23:38:09
213,1000,-61.440084,85,213.1,2026-09-20 23:38:10
214,1000,-22.562590,85,214.1,2026-09-20 23:38:11
215,1000,-21.939842,79,215.1,2026-09-20 23:38:12
216,1000,-24.787563,85,216.1,2026-09-20 23:38:13
217,1000,-12.215392,85,217.1,2026-09-20 23:38:14
218,1000,-41.134031,76,218.0,2026-09-20 23:38:15
219,1000,-18.967795,85,219.0,2026-09-20 23:38:16
220,1000,-23.792306,84,220.0,2026-09-20 23:38:17
221,1000,-24.009495,76,220.9,2026-09-20 23:38:18
222,1000,-4.418762,85,221.9,2026-09-20 23:38:19
223,1000,-7.848840,85,222.9,2026-09-20 23:38:20
224,1000,-30.531636,85,223.9,2026-09-20 23:38:21
225,1000,-32.544505,85,224.8,2026-09-20 23:38:22
226,1000,-42.991899,51,225.8,2026-09-20 23:38:23
227,1000,-21.583373,85,227.1,2026-09-20 23:38:24
228,1000,-23.403032,85,228.1,2026-09-20 23:38:25
229,1000,-15.376038,85,229.1,2026-09-20 23:38:26
230,1000,-44.128226,85,230.1,2026-09-20 23:38:27
231,1000,-83.481583,85,231.0,2026-09-20 23:38:28
232,1000,-24.781620,85,232.0,2026-09-20 23:38:29
233,1000,-31.647634,85,233.0,2026-09-20 23:38:30
234,1000,-19.424752,85,234.0,2026-09-20 23:38:31
235,1000,-26.344553,77,235.0,2026-09-20 23:38:32
236,1000,-26.429767,85,235.9,2026-09-20 23:38:33
237,1000,-56.443600,34,236.9,2026-09-20 23:38:34
238,1000,-29.859360,85,237.9,2026-09-20 23:38:35
239,1000,-15.223621,85,238.9,2026-09-20 23:38:36
240,1000,-37.570767,61,239.8,2026-09-20 23:38:37
241,1000,-24.438694,85,240.8,2026-09-20 23:38:38
242,1000,-40.788535,76,241.8,2026-09-20 23:38:39
243,1000,-43.512111,63,242.8,2026-09-20 23:38:40
244,1000,-17.432051,85,244.1,2026-09-20 23:38:41
245,1000,-24.812865,85,245.0,2026-09-20 23:38:42
246,1000,-35.806681,85,246.0,2026-09-20 23:38:43
247,1000,-24.809106,85,247.0,2026-09-20 23:38:44
248,1000,-36.728127,85,248.0,2026-09-20 23:38:45
249,1000,-5.468963,85,249.0,2026-09-20 23:38:46
250,1000,-4.591780,85,249.9,2026-09-20 23:38:47
251,1000,-42.517655,48,250.9,2026-09-20 23:38:48
