episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-8.378712,85,1.7,2026-09-20 20:48:27
2,1000,-12.690177,85,2.3,2026-09-20 20:48:28
3,1000,-10.980778,85,3.0,2026-09-20 20:48:29
4,1000,-11.388941,85,3.6,2026-09-20 20:48:29
5,1000,-9.991390,85,4.3,2026-09-20 20:48:30
6,1000,-9.178409,85,5.0,2026-09-20 20:48:31
7,1000,-9.355528,85,5.6,2026-09-20 20:48:31
8,1000,-12.504528,85,6.3,2026-09-20 20:48:32
9,1000,-6.706663,85,6.8,2026-09-20 20:48:33
10,1000,-6.515557,85,7.6,2026-09-20 20:48:33
11,1000,-5.517165,85,8.2,2026-09-20 20:48:34
12,1000,-5.435273,85,8.8,2026-09-20 20:48:35
13,1000,-7.408491,85,9.5,2026-09-20 20:48:35
14,1000,-8.719961,85,10.1,2026-09-20 20:48:36
15,1000,-5.777248,85,10.8,2026-09-20 20:48:37
16,1000,-4.752353,85,11.5,2026-09-20 20:48:37
17,1000,-12.309032,85,12.1,2026-09-20 20:48:38
18,1000,-8.526339,85,12.9,2026-09-20 20:48:39
19,1000,-11.554314,85,13.5,2026-09-20 20:48:39
20,1000,-13.825101,85,14.2,2026-09-20 20:48:40
21,1000,-5.625941,85,14.7,2026-09-20 20:48:40
22,1000,-8.018746,85,15.5,2026-09-20 20:48:41
23,1000,-7.925232,85,16.0,2026-09-20 20:48:42
24,1000,-13.467667,85,16.8,2026-09-20 20:48:43
25,1000,-17.265900,85,17.4,2026-09-20 20:48:43
26,1000,-14.807688,85,18.1,2026-09-20 20:48:44
27,1000,-11.176342,85,18.7,2026-09-20 20:48:44
28,1000,-13.211062,85,19.4,2026-09-20 20:48:45
29,1000,-11.083693,85,20.0,2026-09-20 20:48:46
30,1000,-8.119968,85,20.7,2026-09-20 20:48:46
31,1000,-9.763494,85,21.3,2026-09-20 20:48:47
32,1000,-11.069286,85,23.0,2026-09-20 20:48:49
33,1000,-6.077957,85,23.5,2026-09-20 20:48:49
34,1000,-8.404660,85,24.3,2026-09-20 20:48:50
35,1000,-11.730098,85,24.8,2026-09-20 20:48:51
36,1000,-3.726608,85,25.6,2026-09-20 20:48:51
37,1000,-10.181197,85,26.1,2026-09-20 20:48:52
38,1000,-15.566926,85,26.9,2026-09-20 20:48:53
39,1000,-10.159100,85,27.5,2026-09-20 20:48:53
40,1000,-11.764706,85,28.2,2026-09-20 20:48:54
41,1000,-12.047545,85,28.8,2026-09-20 20:48:55
42,1000,-9.358638,85,29.5,2026-09-20 20:48:55
43,1000,-9.231642,85,30.1,2026-09-20 20:48:56
44,1000,-10.866431,85,30.8,2026-09-20 20:48:57
45,1000,-10.609361,85,31.4,2026-09-20 20:48:57
46,1000,-5.282881,85,32.1,2026-09-20 20:48:58
47,1000,-5.122042,85,32.7,2026-09-20 20:48:58
48,1000,-19.686000,71,33.4,2026-09-20 20:48:59
49,1000,-10.990453,85,34.1,2026-09-20 20:49:00
50,1000,-8.413025,85,34.7,2026-09-20 20:49:00
51,1000,-5.479419,85,35.4,2026-09-20 20:49:01
52,1000,-8.266301,85,36.0,2026-09-20 20:49:02
53,1000,-8.156016,85,36.7,2026-09-20 20:49:03
54,1000,-8.564060,85,37.4,2026-09-20 20:49:03
55,1000,-11.858979,85,38.0,2026-09-20 20:49:04
56,1000,-11.776280,85,38.7,2026-09-20 20:49:04
57,1000,-6.779966,85,39.3,2026-09-20 20:49:05
58,1000,-7.177134,85,40.1,2026-09-20 20:49:06
59,1000,-12.907321,85,40.6,2026-09-20 20:49:06
60,1000,-14.246022,85,41.4,2026-09-20 20:49:07
61,1000,-14.458689,85,42.0,2026-09-20 20:49:08
62,1000,-15.043212,85,42.8,2026-09-20 20:49:09
63,1000,-8.483198,85,44.2,2026-09-20 20:49:10
64,1000,-5.496490,85,45.0,2026-09-20 20:49:11
65,1000,-7.059615,85,45.6,2026-09-20 20:49:11
66,1000,-6.885361,85,46.2,2026-09-20 20:49:12
67,1000,-7.808879,85,46.9,2026-09-20 20:49:13
68,1000,-7.255159,85,47.5,2026-09-20 20:49:13
69,1000,-17.338202,85,48.2,2026-09-20 20:49:14
70,1000,-9.169048,85,48.8,2026-09-20 20:49:15
71,1000,-13.250274,85,49.5,2026-09-20 20:49:15
72,1000,-7.892972,85,50.2,2026-09-20 20:49:16
73,1000,-4.270336,85,50.8,2026-09-20 20:49:17
74,1000,-14.687928,85,51.5,2026-09-20 20:49:17
75,1000,-9.557139,85,52.1,2026-09-20 20:49:18
76,1000,-5.883124,85,52.8,2026-09-20 20:49:19
77,1000,-8.168611,85,53.4,2026-09-20 20:49:19
78,1000,-12.102459,85,54.2,2026-09-20 20:49:20
79,1000,-5.183682,85,54.8,2026-09-20 20:49:21
80,1000,-8.266920,85,55.5,2026-09-20 20:49:21
81,1000,-11.691760,85,56.1,2026-09-20 20:49:22
82,1000,-9.323154,85,56.8,2026-09-20 20:49:23
83,1000,-7.930409,85,57.4,2026-09-20 20:49:23
84,1000,-10.406454,85,58.1,2026-09-20 20:49:24
85,1000,-10.681793,85,58.7,2026-09-20 20:49:24
86,1000,-15.588420,85,59.4,2026-09-20 20:49:25
87,1000,-11.996383,85,60.0,2026-09-20 20:49:26
88,1000,-6.132613,85,60.8,2026-09-20 20:49:27
89,1000,-9.687077,85,61.3,2026-09-20 20:49:27
90,1000,-6.779561,85,62.0,2026-09-20 20:49:28
91,1000,-16.722213,85,62.7,2026-09-20 20:49:28
92,1000,-7.976753,85,63.3,2026-09-20 20:49:29
93,1000,-6.972697,85,64.0,2026-09-20 20:49:30
94,1000,-5.409476,85,65.6,2026-09-20 20:49:31
95,1000,-21.401240,85,66.1,2026-09-20 20:49:32
96,1000,-19.098738,85,66.9,2026-09-20 20:49:33
97,1000,-11.887272,85,67.6,2026-09-20 20:49:33
98,1000,-8.427248,85,68.1,2026-09-20 20:49:34
99,1000,-6.749403,85,68.8,2026-09-20 20:49:35
100,1000,-9.252952,85,69.5,2026-09-20 20:49:35
101,1000,-6.541568,85,70.0,2026-09-20 20:49:36
102,1000,-9.762698,85,70.8,2026-09-20 20:49:37
103,1000,-25.807045,85,71.4,2026-09-20 20:49:37
104,1000,-10.327998,85,72.0,2026-09-20 20:49:38
105,1000,-5.634052,85,72.7,2026-09-20 20:49:39
106,1000,-17.630733,85,73.3,2026-09-20 20:49:39
107,1000,-6.925242,85,74.0,2026-09-20 20:49:40
108,1000,-7.015789,85,74.6,2026-09-20 20:49:40
109,1000,-15.220708,85,75.4,2026-09-20 20:49:41
110,1000,-7.172376,85,76.0,2026-09-20 20:49:42
111,1000,-12.814019,85,76.7,2026-09-20 20:49:42
112,1000,-7.033124,85,77.3,2026-09-20 20:49:43
113,1000,-7.343703,85,77.9,2026-09-20 20:49:44
114,1000,-16.398295,85,78.6,2026-09-20 20:49:44
115,1000,-4.552510,85,79.2,2026-09-20 20:49:45
116,1000,-12.195135,85,80.0,2026-09-20 20:49:46
117,1000,-15.004259,85,80.5,2026-09-20 20:49:46
118,1000,-9.379486,85,81.3,2026-09-20 20:49:47
119,1000,-5.101426,85,81.8,2026-09-20 20:49:48
120,1000,-12.699105,85,82.6,2026-09-20 20:49:48
121,1000,-7.501598,85,83.1,2026-09-20 20:49:49
122,1000,-6.630082,85,83.9,2026-09-20 20:49:50
123,1000,-5.839118,85,84.5,2026-09-20 20:49:50
124,1000,-4.085266,85,85.1,2026-09-20 20:49:51
125,1000,-6.870262,85,86.5,2026-09-20 20:49:52
126,1000,-5.365673,85,87.1,2026-09-20 20:49:53
127,1000,-4.453537,85,87.8,2026-09-20 20:49:54
128,1000,-6.165934,85,88.4,2026-09-20 20:49:54
129,1000,-2.676537,85,89.1,2026-09-20 20:49:55
130,1000,-4.471657,85,89.7,2026-09-20 20:49:55
131,1000,-4.250310,85,90.4,2026-09-20 20:49:56
132,1000,-11.938919,85,91.1,2026-09-20 20:49:57
133,1000,-6.037112,85,91.7,2026-09-20 20:49:57
134,1000,-4.364807,85,92.4,2026-09-20 20:49:58
135,1000,-5.181949,85,92.9,2026-09-20 20:49:59
136,1000,-4.597756,85,93.7,2026-09-20 20:49:59
137,1000,-6.650039,85,94.3,2026-09-20 20:50:00
138,1000,-7.914086,85,94.9,2026-09-20 20:50:01
139,1000,-3.331661,85,95.6,2026-09-20 20:50:01
140,1000,-17.163748,85,96.2,2026-09-20 20:50:02
141,1000,-5.761038,85,96.9,2026-09-20 20:50:03
142,1000,-13.070310,85,97.5,2026-09-20 20:50:03
143,1000,-3.507821,85,98.2,2026-09-20 20:50:04
144,1000,-4.696949,85,98.9,2026-09-20 20:50:05
145,1000,-6.242900,85,99.5,2026-09-20 20:50:05
146,1000,-3.689686,85,100.2,2026-09-20 20:50:06
147,1000,-6.456937,85,100.8,2026-09-20 20:50:07
148,1000,-5.040731,85,101.5,2026-09-20 20:50:07
149,1000,-4.986410,85,102.1,2026-09-20 20:50:08
150,1000,-10.179834,85,102.7,2026-09-20 20:50:08
151,1000,-7.535992,85,103.4,2026-09-20 20:50:09
152,1000,-4.710397,85,104.0,2026-09-20 20:50:10
153,1000,-5.568325,85,104.7,2026-09-20 20:50:10
154,1000,-6.130347,85,105.3,2026-09-20 20:50:11
155,1000,-6.137882,85,106.0,2026-09-20 20:50:12
156,1000,-14.448099,85,107.5,2026-09-20 20:50:13
157,1000,-2.699726,85,108.1,2026-09-20 20:50:14
158,1000,-15.681321,85,108.8,2026-09-20 20:50:15
159,1000,-2.492729,85,109.4,2026-09-20 20:50:15
160,1000,-25.085394,85,110.1,2026-09-20 20:50:16
161,1000,-4.773387,85,110.8,2026-09-20 20:50:17
162,1000,-8.779855,85,111.4,2026-09-20 20:50:17
163,1000,-38.107526,85,112.1,2026-09-20 20:50:18
164,1000,-4.753612,85,112.7,2026-09-20 20:50:18
165,1000,-18.944605,85,113.4,2026-09-20 20:50:19
166,1000,-6.156926,85,114.0,2026-09-20 20:50:20
167,1000,-5.808074,85,114.7,2026-09-20 20:50:20
168,1000,-9.378795,85,115.3,2026-09-20 20:50:21
169,1000,-6.537789,85,116.0,2026-09-20 20:50:22
170,1000,-9.328374,85,116.6,2026-09-20 20:50:22
171,1000,-7.139132,85,117.3,2026-09-20 20:50:23
172,1000,-12.715941,85,118.0,2026-09-20 20:50:24
173,1000,-18.976440,85,118.5,2026-09-20 20:50:24
174,1000,-3.226056,85,119.2,2026-09-20 20:50:25
175,1000,-5.913424,85,119.9,2026-09-20 20:50:26
176,1000,-7.190555,85,120.5,2026-09-20 20:50:26
