episode,max_episodes,reward,steps,elapsed_s,time
1,1000,-12.369283,85,1.5,2026-09-20 20:27:43
2,1000,-11.312563,85,1.9,2026-09-20 20:27:44
3,1000,-10.084954,85,2.4,2026-09-20 20:27:44
4,1000,-11.336707,85,2.8,2026-09-20 20:27:45
5,1000,-31.311171,85,3.2,2026-09-20 20:27:45
6,1000,-12.414954,85,3.7,2026-09-20 20:27:45
7,1000,-18.561046,85,4.1,2026-09-20 20:27:46
8,1000,-17.695359,85,4.5,2026-09-20 20:27:46
9,1000,-11.600006,85,4.9,2026-09-20 20:27:47
10,1000,-20.896666,85,5.4,2026-09-20 20:27:47
11,1000,-11.602188,85,5.8,2026-09-20 20:27:48
12,1000,-11.793431,85,6.2,2026-09-20 20:27:48
13,1000,-9.068341,85,6.7,2026-09-20 20:27:48
14,1000,-12.318374,85,7.1,2026-09-20 20:27:49
15,1000,-10.956378,85,7.5,2026-09-20 20:27:49
16,1000,-15.558852,85,7.9,2026-09-20 20:27:50
17,1000,-6.312682,85,8.3,2026-09-20 20:27:50
18,1000,-13.669907,85,8.7,2026-09-20 20:27:51
19,1000,-16.643676,85,9.2,2026-09-20 20:27:51
20,1000,-12.379370,85,9.6,2026-09-20 20:27:51
21,1000,-15.823613,85,10.0,2026-09-20 20:27:52
22,1000,-5.912186,85,10.5,2026-09-20 20:27:52
23,1000,-11.327456,85,10.9,2026-09-20 20:27:53
24,1000,-10.224564,85,11.3,2026-09-20 20:27:53
25,1000,-10.122883,85,11.8,2026-09-20 20:27:54
26,1000,-19.885663,85,12.2,2026-09-20 20:27:54
27,1000,-14.353075,85,12.6,2026-09-20 20:27:54
28,1000,-13.781806,85,13.0,2026-09-20 20:27:55
29,1000,-11.443789,85,13.5,2026-09-20 20:27:55
30,1000,-9.579538,85,13.9,2026-09-20 20:27:56
31,1000,-13.320069,85,14.3,2026-09-20 20:27:56
32,1000,-8.546716,85,15.7,2026-09-20 20:27:57
33,1000,-20.607147,85,16.2,2026-09-20 20:27:58
34,1000,-9.157092,85,16.6,2026-09-20 20:27:58
35,1000,-10.753181,85,17.1,2026-09-20 20:27:59
36,1000,-12.202640,85,17.5,2026-09-20 20:27:59
37,1000,-5.608200,85,17.9,2026-09-20 20:28:00
38,1000,-14.527946,85,18.3,2026-09-20 20:28:00
39,1000,-8.874905,85,18.8,2026-09-20 20:28:01
40,1000,-13.329263,85,19.2,2026-09-20 20:28:01
41,1000,-16.713718,85,19.6,2026-09-20 20:28:01
42,1000,-16.000080,85,20.1,2026-09-20 20:28:02
43,1000,-6.444258,85,20.5,2026-09-20 20:28:02
44,1000,-4.204267,85,20.9,2026-09-20 20:28:03
45,1000,-12.571202,85,21.3,2026-09-20 20:28:03
46,1000,-4.609358,85,21.8,2026-09-20 20:28:04
47,1000,-14.417785,85,22.2,2026-09-20 20:28:04
48,1000,-28.234368,85,22.6,2026-09-20 20:28:04
49,1000,-13.160773,85,23.1,2026-09-20 20:28:05
50,1000,-11.690845,85,23.5,2026-09-20 20:28:05
51,1000,-10.176872,85,24.0,2026-09-20 20:28:06
52,1000,-13.886285,85,24.4,2026-09-20 20:28:06
53,1000,-13.957401,85,24.8,2026-09-20 20:28:07
54,1000,-10.873643,85,25.3,2026-09-20 20:28:07
55,1000,-8.009695,85,25.7,2026-09-20 20:28:07
56,1000,-12.677401,85,26.1,2026-09-20 20:28:08
57,1000,-5.613054,85,26.6,2026-09-20 20:28:08
58,1000,-11.089386,85,27.1,2026-09-20 20:28:09
59,1000,-4.988270,85,27.5,2026-09-20 20:28:09
60,1000,-17.410189,85,27.9,2026-09-20 20:28:10
61,1000,-17.324285,85,28.3,2026-09-20 20:28:10
62,1000,-15.321945,85,28.7,2026-09-20 20:28:11
63,1000,-2.704926,85,30.0,2026-09-20 20:28:12
64,1000,-36.229842,61,30.4,2026-09-20 20:28:12
65,1000,-11.268794,85,30.9,2026-09-20 20:28:13
66,1000,-3.524917,85,31.3,2026-09-20 20:28:13
67,1000,-11.150927,85,31.7,2026-09-20 20:28:13
68,1000,-21.565786,85,32.2,2026-09-20 20:28:14
69,1000,-6.761360,85,32.6,2026-09-20 20:28:14
70,1000,-12.140478,85,33.0,2026-09-20 20:28:15
71,1000,-12.548111,81,33.5,2026-09-20 20:28:15
72,1000,-8.648366,85,33.9,2026-09-20 20:28:16
73,1000,-4.747809,85,34.3,2026-09-20 20:28:16
74,1000,-14.917432,85,34.7,2026-09-20 20:28:16
75,1000,-16.121773,85,35.2,2026-09-20 20:28:17
76,1000,-16.448776,85,35.6,2026-09-20 20:28:17
77,1000,-8.929074,85,36.0,2026-09-20 20:28:18
78,1000,-7.430014,85,36.5,2026-09-20 20:28:18
79,1000,-16.798917,85,36.9,2026-09-20 20:28:19
80,1000,-10.402616,85,37.3,2026-09-20 20:28:19
81,1000,-16.823264,85,37.8,2026-09-20 20:28:20
82,1000,-4.002179,85,38.2,2026-09-20 20:28:20
83,1000,-3.101546,85,38.6,2026-09-20 20:28:20
